Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
11315;664W;P1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11316;831W;P1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11317;831W;P1;MXAA54L-RNXGBX;089;85;CVT; ;   ;  ;;
11318;664W;P1;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11319;831W;P1;AXAA54L-RNZMBX;4X7;52;8AT; ;   ;  ;;
11320;664W;P1;ASV71L-RETNHX ;040;A1;   ; ;   ;  ;;
11321;831W;P1;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11322;664W;P1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11323;831W;P1;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11324;664W;P1;ASV70L-RETNKX ;089;B4;   ; ;   ;  ;;
11325;831W;P1;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11326;831W;P1;MXAA52L-RNFXBX;040;20;6MT; ;   ;  ;;
11327;664W;P1;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11328;831W;P1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11329;664W;P1;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11330;831W;P1;AXAA54L-RNZGBX;089;88;8AT; ;   ;  ;;
11331;664W;P1;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11332;831W;B9;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;11332;
11333;831W;B9;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;11333;
11334;664W;B9;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;11334;
11335;831W;B9;AXAA54L-RNZMBX;4X7;52;8AT; ;   ;  ;11335;
11336;664W;B9;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;11336;
11337;831W;B1;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;11337;
11338;664W;B1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;11338;
11339;831W;B1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;11339;
11340;664W;B1;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;11340;
11341;831W;B1;AXAA54L-RNZMBX;1F7;56;8AT; ;   ;  ;11341;
11342;831W;B1;MXAA54L-RNXGBX;089;87;CVT; ;   ;  ;11342;
11343;664W;B1;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;11343;
11344;831W;B1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;11344;
11345;664W;B1;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;11345;
11346;831W;B1;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;11346;
11347;664W;B1;ASV71L-RETNHX ;040;A1;   ; ;   ;  ;11347;
11348;831W;B1;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;11348;
11349;831W;B1;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;11349;
11350;664W;B1;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;11350;
11351;831W;B1;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;11351;
11352;664W;B1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;11352;
11353;831W;B1;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;11353;
11354;664W;B1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;11354;
11355;831W;B1;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;11355;
11356;664W;B1;GSV70L-REZGBX ;218;C5;   ; ;   ;  ;11356;
11357;831W;B1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;11357;
11358;831W;B1;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;11358;
11359;664W;B1;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;11359;
11360;831W;B1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;11360;
11361;664W;B1;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;11361;
11362;831W;B1;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;11362;
11363;664W;B1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;11363;
11364;831W;B1;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;11364;
11365;831W;B1;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;11365;
11366;664W;B1;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;11366;
11367;831W;B1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;11367;
11368;664W;B1;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;11368;
11369;831W;B1;MXAA52L-RNFXBX;040;20;6MT; ;   ;  ;11369;
11370;664W;B1;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;11370;
11371;831W;B1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;11371;
11372;664W;B1;ASV71L-RETNHX ;218;A3;   ; ;   ;  ;11372;
11373;831W;B1;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;11373;
11374;831W;B1;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;11374;
11375;664W;B1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;11375;
11376;831W;B1;MXAA54L-RNXGBX;1F7;88;CVT; ;   ;  ;11376;
11377;664W;B0;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11378;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11379;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11380;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11381;831W;B0;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;;
11382;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11383;831W;B0;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11384;664W;B0;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11385;831W;B0;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11386;664W;B0;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
11387;831W;B0;AXAA54L-RNZMBX;1F7;56;8AT; ;   ;  ;;
11388;664W;B0;ASV71L-RETNHX ;089;A2;   ; ;   ;  ;;
11389;831W;B0;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;;
11390;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11391;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11392;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11393;664W;B0;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11394;831W;B0;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11395;664W;B0;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11396;831W;B0;MXAA52L-RNFXBX;040;20;6MT; ;   ;  ;;
11397;831W;B0;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11398;664W;B0;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11399;831W;B0;MXAA54L-RNXMBX;2PS;55;CVT; ;   ;  ;;
11400;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11401;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11402;664W;B0;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11403;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11404;664W;B0;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11405;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11406;831W;B0;MXAA54L-RNXMBX;218;52;CVT; ;   ;  ;;
11407;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11408;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11409;664W;B0;ASV70L-RETNKX ;1F7;B2;   ; ;   ;  ;;
11410;831W;B0;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11411;664W;B0;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
